,images,masks,collages
0,images/ds10_pexels-photo-687782.png,masks/ds10_pexels-photo-687782.png,collage/ds10_pexels-photo-687782.jpg
1,images/ds10_pexels-photo-835971.png,masks/ds10_pexels-photo-835971.png,collage/ds10_pexels-photo-835971.jpg
2,images/ds10_pexels-photo-850708.png,masks/ds10_pexels-photo-850708.png,collage/ds10_pexels-photo-850708.jpg
3,images/ds10_pexels-photo-864937.png,masks/ds10_pexels-photo-864937.png,collage/ds10_pexels-photo-864937.jpg
4,images/ds10_pexels-photo-865908.png,masks/ds10_pexels-photo-865908.png,collage/ds10_pexels-photo-865908.jpg
5,images/ds10_pexels-photo-865909.png,masks/ds10_pexels-photo-865909.png,collage/ds10_pexels-photo-865909.jpg
6,images/ds10_pexels-photo-865926.png,masks/ds10_pexels-photo-865926.png,collage/ds10_pexels-photo-865926.jpg
7,images/ds10_pexels-photo-879585.png,masks/ds10_pexels-photo-879585.png,collage/ds10_pexels-photo-879585.jpg
8,images/ds10_pexels-photo-883090.png,masks/ds10_pexels-photo-883090.png,collage/ds10_pexels-photo-883090.jpg
9,images/ds10_thailand-costume-girl-woman-157857.png,masks/ds10_thailand-costume-girl-woman-157857.png,collage/ds10_thailand-costume-girl-woman-157857.jpg
10,images/ds11_adorable-baby-beautiful-boy-41000.png,masks/ds11_adorable-baby-beautiful-boy-41000.png,collage/ds11_adorable-baby-beautiful-boy-41000.jpg
11,images/ds11_autumn-fall-baby-boy-child-59865.png,masks/ds11_autumn-fall-baby-boy-child-59865.png,collage/ds11_autumn-fall-baby-boy-child-59865.jpg
12,images/ds11_baby-boy-child-christmas-41173.png,masks/ds11_baby-boy-child-christmas-41173.png,collage/ds11_baby-boy-child-christmas-41173.jpg
13,images/ds11_baby-boy-hat-covered-101537.png,masks/ds11_baby-boy-hat-covered-101537.png,collage/ds11_baby-boy-hat-covered-101537.jpg
14,images/ds11_baby-child-kid-girl-161593.png,masks/ds11_baby-child-kid-girl-161593.png,collage/ds11_baby-child-kid-girl-161593.jpg
15,images/ds11_baby-cute-moe-brilliant-159754.png,masks/ds11_baby-cute-moe-brilliant-159754.png,collage/ds11_baby-cute-moe-brilliant-159754.jpg
16,images/ds11_baby-cute-moe-brilliant-159767.png,masks/ds11_baby-cute-moe-brilliant-159767.png,collage/ds11_baby-cute-moe-brilliant-159767.jpg
17,images/ds11_baseball-player-running-sport-163209.png,masks/ds11_baseball-player-running-sport-163209.png,collage/ds11_baseball-player-running-sport-163209.jpg
18,images/ds11_baseball-player-running-sport-163239.png,masks/ds11_baseball-player-running-sport-163239.png,collage/ds11_baseball-player-running-sport-163239.jpg
